QUEST_ID	CONTACT_DATE_REAL	QUESTION
100972	63147	Imaging Modality
116658	63662	Order Specifics:
117146	64513	Have you felt down, depressed or hopeless over the past 2 weeks?
117146	64513.01	Have you felt down, depressed or hopeless over the past 2 weeks?
117146	65070	Feeling down, depressed, irritable, or hopeless?
117146	65070.01	Feeling down, depressed, irritable, or hopeless?
117146	65070.02	Feeling down, depressed, or hopeless
117146	65070.03	Have you felt down, depressed, or hopeless?
117146	65070.04	Have you felt down, depressed or hopeless over the past 2 weeks?
117146	65098	Have you felt down, depressed or hopeless over the past 2 weeks?
117146	65126	Have you felt down, depressed or hopeless over the past 2 weeks?
117146	66137	Have you felt down, depressed or hopeless over the past 2 weeks?
117146	66144	Have you felt down, depressed or hopeless over the past 2 weeks?
117146	66354	Have you felt down, depressed or hopeless over the past 2 weeks?
117146	66479	Have you felt down, depressed or hopeless over the past 2 weeks?
123739	65667	Release to patient
123739	65671	Release to patient
125988	63810	Appropriate use of contrast may be determined by the radiologist.
130264	66567	Regarding you visit today, when did your symptoms begin?
130264	66567.01	Regarding you visit today, when did your symptoms begin?
130264	66569	Regarding your visit today, when did your symptoms begin?
130264	66604	Regarding your visit today, when did your symptoms begin? If your visit is related to routine care, please enter today's date.
130264	66652	When did your symptoms begin? If you are not experiencing any symptoms, please enter the date of your appointment. 
130264	66653	When did your symptoms begin? If you are not experiencing any symptoms, please enter the date of your visit. 
130264	66653.01	When did your symptoms begin? If you are not experiencing any symptoms, please enter the date of your visit. 
139475	66457	Is this visit related to workers' compensation, auto, or third-party liability accident?
139475	66590	Is this visit related to any of the following accident types?
139475	66590.01	Is this visit related to any of the following accident types?
139475	66591	Is this visit related to any of the following accident types?
139475	66591.01	Is this visit related to any of the following accident types?
139475	66591.02	Is this visit related to any of the following accident types?
139475	66591.03	Is this visit related to any of the following accident types?
140320000000	65667	Release to patient
140320000000	65671	Release to patient
140320000000	66773	Release to patient
141324	66865	What is your Verteran Status?
141324	66865.01	Are you a Veteran?
141324	66870	Are you a Veteran?
141324	66877	Are you a Veteran?
1605203401	60463	Reason for exam:
1605203401	61009	Reason for exam:
64645	65386	Do you have any of the following symptoms?
64645	65455	Do you have any of the following symptoms?
64645	65456	Do you have any of the following symptoms?
64645	65462	Do you have any of the following symptoms?
64645	65465	Do you have any of the following symptoms?
64645	65497	Do you have any of the following symptoms?
64645	65556	Do you have any of the following new or worsening symptoms?
